day,n1,n2,theta_j1,theta_j2,theta_j3,theta_j4,theta_j5,theta_j6,theta_j7,theta_j8
2026-01-01,286374,59390,-0.05,-0.05,-0.05,-0.15000000000000002,-0.2,-0.25,-0.5,-0.75
2026-01-02,519497,179885,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,-0.1
2026-01-03,321747,77640,-0.05,-0.05,-0.05,-0.1,-0.1,-0.15000000000000002,-0.15000000000000002,-0.30000000000000004
2026-01-04,363223,95769,-0.05,-0.05,-0.05,-0.05,-0.1,-0.15000000000000002,-0.15000000000000002,-0.25
2026-01-05,632465,207995,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,0.05
2026-01-06,565004,204209,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,-0.1
2026-01-07,465979,178686,-0.1,0.0,0.0,0.0,0.0,-0.05,-0.05,0.1
2026-01-08,570392,203751,-0.05,-0.05,-0.05,0.0,-0.05,-0.15000000000000002,-0.2,-0.35000000000000003
2026-01-09,452902,193649,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.15000000000000002,-0.2
2026-01-10,208128,55265,-0.05,0.0,0.0,0.05,0.0,0.05,-0.25,-0.6000000000000001
2026-01-11,251661,64759,-0.15000000000000002,0.1,-0.05,0.0,-0.05,-0.1,-0.15000000000000002,-0.30000000000000004
2026-01-12,401784,180422,-0.1,-0.05,0.0,-0.05,-0.05,-0.05,-0.1,0.0
2026-01-13,591639,207794,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.05,0.05
2026-01-14,600775,204848,-0.05,-0.05,0.0,0.0,-0.05,-0.1,-0.1,-0.2
2026-01-15,500810,206578,-0.05,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0
2026-01-16,354222,150506,0.0,0.0,0.0,0.0,0.05,0.1,0.1,0.15000000000000002
2026-01-17,235826,62681,0.0,0.0,0.05,0.1,0.15000000000000002,0.35000000000000003,0.6000000000000001,0.5
2026-01-18,298657,81420,-5.95,-0.05,-0.05,-0.05,0.0,-0.05,0.30000000000000004,0.55
2026-01-19,456793,161355,-0.05,-0.05,-0.05,0.0,0.0,0.0,0.1,0.15000000000000002
2026-01-20,915023,250785,-0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.25
2026-01-21,760932,274638,-0.05,-0.05,-0.05,-0.05,0.0,0.0,0.0,0.05
2026-01-22,493395,172784,-0.1,0.0,0.0,0.0,0.0,-0.05,-0.15000000000000002,-0.15000000000000002
2026-01-23,565339,176678,-0.1,0.0,0.0,-0.05,-0.05,-0.1,-0.15000000000000002,-0.15000000000000002
2026-01-24,269069,55183,-0.05,-0.05,-0.05,-0.05,-0.05,-0.15000000000000002,-0.1,-0.2
2026-01-25,537614,148916,-0.05,-0.05,-0.05,0.0,0.0,0.0,-0.1,0.0
2026-01-26,511545,191919,-0.05,0.0,0.0,0.0,-0.05,-0.05,-0.05,0.15000000000000002
2026-01-27,444276,175315,-0.05,0.0,0.0,0.0,-0.05,-0.1,-0.1,-0.1
2026-01-28,483776,201503,-0.05,0.0,0.0,0.0,-0.05,-0.05,-0.1,0.0
2026-01-29,676857,257927,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.05,0.15000000000000002
2026-01-30,876399,394281,-0.1,0.0,0.0,0.0,0.0,0.05,0.15000000000000002,0.25
2026-01-31,1039800,414143,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0,0.05
