scenario,estimator,j,true_theta,median,MAD,bias,mean_abs_error,within_1_delta,within_2_delta,correct_sign
constant_lm_high,HK_HY_non_sync,1,1.0,1.0,0.0,0.0,0.15,0.95,0.95,0.95
constant_lm_high,HK_HY_non_sync,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_high,HK_HY_non_sync,3,2.0,1.0,0.0,-1.0,0.6,1.0,1.0,1.0
constant_lm_high,HK_HY_non_sync,4,2.0,1.0,0.0,-1.0,1.0,0.95,1.0,0.95
constant_lm_high,HK_HY_non_sync,5,3.0,1.0,0.0,-2.0,1.5,0.4,1.0,1.0
constant_lm_high,HK_HY_non_sync,6,5.0,1.0,1.0,-4.0,3.4,0.15,0.2,0.75
constant_lm_high,HK_HY_non_sync,7,7.0,1.0,4.0,-6.0,9.6,0.1,0.2,0.65
constant_lm_high,HK_HY_non_sync,8,10.0,-9.0,9.0,-19.0,23.65,0.0,0.05,0.25
constant_lm_high,previous_tick_interpolated,1,1.0,1.0,39.0,0.0,37.75,0.35,0.4,0.75
constant_lm_high,previous_tick_interpolated,2,1.0,1.0,0.5,0.0,0.9,0.65,0.95,0.85
constant_lm_high,previous_tick_interpolated,3,2.0,0.0,0.0,-2.0,1.85,0.15,1.0,0.15
constant_lm_high,previous_tick_interpolated,4,2.0,-1.0,0.0,-3.0,2.85,0.0,0.15,0.0
constant_lm_high,previous_tick_interpolated,5,3.0,-1.0,0.0,-4.0,3.9,0.0,0.0,0.0
constant_lm_high,previous_tick_interpolated,6,5.0,-1.0,1.0,-6.0,6.0,0.0,0.05,0.15
constant_lm_high,previous_tick_interpolated,7,7.0,-2.5,2.5,-9.5,9.3,0.05,0.05,0.2
constant_lm_high,previous_tick_interpolated,8,10.0,-17.0,7.0,-27.0,24.85,0.0,0.0,0.05
constant_lm_moderate,HK_HY_non_sync,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_moderate,HK_HY_non_sync,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_moderate,HK_HY_non_sync,3,2.0,1.0,0.0,-1.0,0.85,1.0,1.0,1.0
constant_lm_moderate,HK_HY_non_sync,4,2.0,1.0,0.0,-1.0,0.9,1.0,1.0,1.0
constant_lm_moderate,HK_HY_non_sync,5,3.0,1.0,0.0,-2.0,1.7,0.35,0.95,0.95
constant_lm_moderate,HK_HY_non_sync,6,5.0,1.0,1.0,-4.0,3.95,0.05,0.15,0.65
constant_lm_moderate,HK_HY_non_sync,7,7.0,1.0,4.0,-6.0,5.65,0.2,0.25,0.5
constant_lm_moderate,HK_HY_non_sync,8,10.0,-12.5,7.5,-22.5,21.2,0.0,0.0,0.15
constant_lm_moderate,previous_tick_interpolated,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_moderate,previous_tick_interpolated,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_moderate,previous_tick_interpolated,3,2.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0
constant_lm_moderate,previous_tick_interpolated,4,2.0,1.0,0.0,-1.0,1.2,0.8,1.0,0.8
constant_lm_moderate,previous_tick_interpolated,5,3.0,1.0,0.0,-2.0,2.3,0.0,0.7,0.7
constant_lm_moderate,previous_tick_interpolated,6,5.0,0.5,0.5,-4.5,4.25,0.0,0.0,0.5
constant_lm_moderate,previous_tick_interpolated,7,7.0,0.5,3.0,-6.5,9.9,0.05,0.05,0.5
constant_lm_moderate,previous_tick_interpolated,8,10.0,-11.0,5.0,-21.0,20.25,0.0,0.0,0.15
constant_sync,HK_HY_non_sync,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_sync,HK_HY_non_sync,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_sync,HK_HY_non_sync,3,2.0,1.0,0.0,-1.0,0.75,1.0,1.0,1.0
constant_sync,HK_HY_non_sync,4,2.0,1.0,0.0,-1.0,0.95,1.0,1.0,1.0
constant_sync,HK_HY_non_sync,5,3.0,1.0,0.0,-2.0,1.85,0.2,0.95,0.95
constant_sync,HK_HY_non_sync,6,5.0,1.0,1.0,-4.0,3.65,0.0,0.15,0.85
constant_sync,HK_HY_non_sync,7,7.0,0.5,2.0,-6.5,6.9,0.05,0.05,0.5
constant_sync,HK_HY_non_sync,8,10.0,-7.5,6.5,-17.5,17.25,0.0,0.0,0.2
heston_lm_high,HK_HY_non_sync,1,1.0,1.0,49.0,0.0,42.2,0.35,0.35,0.55
heston_lm_high,HK_HY_non_sync,2,1.0,1.0,0.0,0.0,7.0,0.8,0.8,0.85
heston_lm_high,HK_HY_non_sync,3,2.0,1.0,0.0,-1.0,0.6,1.0,1.0,1.0
heston_lm_high,HK_HY_non_sync,4,2.0,1.0,0.0,-1.0,1.35,0.85,0.95,0.85
heston_lm_high,HK_HY_non_sync,5,3.0,2.5,0.5,-0.5,0.9,0.7,1.0,1.0
heston_lm_high,HK_HY_non_sync,6,5.0,1.5,2.5,-3.5,5.1,0.3,0.4,0.7
heston_lm_high,HK_HY_non_sync,7,7.0,8.0,18.5,1.0,37.95,0.05,0.05,0.7
heston_lm_high,HK_HY_non_sync,8,10.0,-17.0,12.0,-27.0,32.7,0.05,0.1,0.15
heston_lm_high,previous_tick_interpolated,1,1.0,1.5,30.5,0.5,35.55,0.3,0.35,0.65
heston_lm_high,previous_tick_interpolated,2,1.0,3.0,29.0,2.0,36.55,0.2,0.35,0.75
heston_lm_high,previous_tick_interpolated,3,2.0,0.0,0.0,-2.0,1.95,0.3,0.9,0.4
heston_lm_high,previous_tick_interpolated,4,2.0,-1.0,0.0,-3.0,3.2,0.05,0.2,0.05
heston_lm_high,previous_tick_interpolated,5,3.0,-0.5,0.5,-3.5,3.5,0.0,0.15,0.15
heston_lm_high,previous_tick_interpolated,6,5.0,-1.0,2.0,-6.0,7.4,0.0,0.05,0.3
heston_lm_high,previous_tick_interpolated,7,7.0,-1.5,5.0,-8.5,27.8,0.0,0.0,0.4
heston_lm_high,previous_tick_interpolated,8,10.0,-15.5,7.5,-25.5,32.15,0.0,0.0,0.15
