scenario,vol,p1,p2,path,seed,estimator,j,theta_hat,n1,n2
constant_sync,constant,0.0,0.0,1,365994733,HK_HY_non_sync,1,1.0,2049,2049
constant_sync,constant,0.0,0.0,1,365994733,HK_HY_non_sync,2,1.0,2049,2049
constant_sync,constant,0.0,0.0,1,365994733,HK_HY_non_sync,3,1.0,2049,2049
constant_sync,constant,0.0,0.0,1,365994733,HK_HY_non_sync,4,1.0,2049,2049
constant_sync,constant,0.0,0.0,1,365994733,HK_HY_non_sync,5,0.0,2049,2049
constant_sync,constant,0.0,0.0,1,365994733,HK_HY_non_sync,6,-1.0,2049,2049
constant_sync,constant,0.0,0.0,1,365994733,HK_HY_non_sync,7,-4.0,2049,2049
constant_sync,constant,0.0,0.0,1,365994733,HK_HY_non_sync,8,-23.0,2049,2049
constant_sync,constant,0.0,0.0,2,127110760,HK_HY_non_sync,1,1.0,2049,2049
constant_sync,constant,0.0,0.0,2,127110760,HK_HY_non_sync,2,1.0,2049,2049
constant_sync,constant,0.0,0.0,2,127110760,HK_HY_non_sync,3,1.0,2049,2049
constant_sync,constant,0.0,0.0,2,127110760,HK_HY_non_sync,4,1.0,2049,2049
constant_sync,constant,0.0,0.0,2,127110760,HK_HY_non_sync,5,1.0,2049,2049
constant_sync,constant,0.0,0.0,2,127110760,HK_HY_non_sync,6,-3.0,2049,2049
constant_sync,constant,0.0,0.0,2,127110760,HK_HY_non_sync,7,-9.0,2049,2049
constant_sync,constant,0.0,0.0,2,127110760,HK_HY_non_sync,8,14.0,2049,2049
constant_sync,constant,0.0,0.0,3,894302036,HK_HY_non_sync,1,1.0,2049,2049
constant_sync,constant,0.0,0.0,3,894302036,HK_HY_non_sync,2,1.0,2049,2049
constant_sync,constant,0.0,0.0,3,894302036,HK_HY_non_sync,3,2.0,2049,2049
constant_sync,constant,0.0,0.0,3,894302036,HK_HY_non_sync,4,1.0,2049,2049
constant_sync,constant,0.0,0.0,3,894302036,HK_HY_non_sync,5,0.0,2049,2049
constant_sync,constant,0.0,0.0,3,894302036,HK_HY_non_sync,6,1.0,2049,2049
constant_sync,constant,0.0,0.0,3,894302036,HK_HY_non_sync,7,-95.0,2049,2049
constant_sync,constant,0.0,0.0,3,894302036,HK_HY_non_sync,8,26.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,1,2081528600,HK_HY_non_sync,1,1.0,1528,1043
constant_lm_moderate,constant,0.25,0.5,1,2081528600,HK_HY_non_sync,2,1.0,1528,1043
constant_lm_moderate,constant,0.25,0.5,1,2081528600,HK_HY_non_sync,3,1.0,1528,1043
constant_lm_moderate,constant,0.25,0.5,1,2081528600,HK_HY_non_sync,4,2.0,1528,1043
constant_lm_moderate,constant,0.25,0.5,1,2081528600,HK_HY_non_sync,5,3.0,1528,1043
constant_lm_moderate,constant,0.25,0.5,1,2081528600,HK_HY_non_sync,6,-3.0,1528,1043
constant_lm_moderate,constant,0.25,0.5,1,2081528600,HK_HY_non_sync,7,74.0,1528,1043
constant_lm_moderate,constant,0.25,0.5,1,2081528600,HK_HY_non_sync,8,-15.0,1528,1043
constant_lm_moderate,constant,0.25,0.5,1,2081528600,previous_tick_interpolated,1,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,1,2081528600,previous_tick_interpolated,2,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,1,2081528600,previous_tick_interpolated,3,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,1,2081528600,previous_tick_interpolated,4,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,1,2081528600,previous_tick_interpolated,5,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,1,2081528600,previous_tick_interpolated,6,-3.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,1,2081528600,previous_tick_interpolated,7,72.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,1,2081528600,previous_tick_interpolated,8,-22.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,2,2048464303,HK_HY_non_sync,1,1.0,1548,1014
constant_lm_moderate,constant,0.25,0.5,2,2048464303,HK_HY_non_sync,2,1.0,1548,1014
constant_lm_moderate,constant,0.25,0.5,2,2048464303,HK_HY_non_sync,3,1.0,1548,1014
constant_lm_moderate,constant,0.25,0.5,2,2048464303,HK_HY_non_sync,4,1.0,1548,1014
constant_lm_moderate,constant,0.25,0.5,2,2048464303,HK_HY_non_sync,5,0.0,1548,1014
constant_lm_moderate,constant,0.25,0.5,2,2048464303,HK_HY_non_sync,6,-2.0,1548,1014
constant_lm_moderate,constant,0.25,0.5,2,2048464303,HK_HY_non_sync,7,100.0,1548,1014
constant_lm_moderate,constant,0.25,0.5,2,2048464303,HK_HY_non_sync,8,4.0,1548,1014
constant_lm_moderate,constant,0.25,0.5,2,2048464303,previous_tick_interpolated,1,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,2,2048464303,previous_tick_interpolated,2,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,2,2048464303,previous_tick_interpolated,3,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,2,2048464303,previous_tick_interpolated,4,0.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,2,2048464303,previous_tick_interpolated,5,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,2,2048464303,previous_tick_interpolated,6,-1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,2,2048464303,previous_tick_interpolated,7,12.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,2,2048464303,previous_tick_interpolated,8,9.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,3,1809507340,HK_HY_non_sync,1,1.0,1533,1011
constant_lm_moderate,constant,0.25,0.5,3,1809507340,HK_HY_non_sync,2,1.0,1533,1011
constant_lm_moderate,constant,0.25,0.5,3,1809507340,HK_HY_non_sync,3,1.0,1533,1011
constant_lm_moderate,constant,0.25,0.5,3,1809507340,HK_HY_non_sync,4,2.0,1533,1011
constant_lm_moderate,constant,0.25,0.5,3,1809507340,HK_HY_non_sync,5,1.0,1533,1011
constant_lm_moderate,constant,0.25,0.5,3,1809507340,HK_HY_non_sync,6,1.0,1533,1011
constant_lm_moderate,constant,0.25,0.5,3,1809507340,HK_HY_non_sync,7,-77.0,1533,1011
constant_lm_moderate,constant,0.25,0.5,3,1809507340,HK_HY_non_sync,8,-4.0,1533,1011
constant_lm_moderate,constant,0.25,0.5,3,1809507340,previous_tick_interpolated,1,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,3,1809507340,previous_tick_interpolated,2,3.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,3,1809507340,previous_tick_interpolated,3,1.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,3,1809507340,previous_tick_interpolated,4,0.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,3,1809507340,previous_tick_interpolated,5,0.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,3,1809507340,previous_tick_interpolated,6,0.0,2049,2049
constant_lm_moderate,constant,0.25,0.5,3,1809507340,previous_tick_interpolated,7,1.0,2049,2049
