scenario,estimator,j,true_theta,median,MAD,bias,mean_abs_error,within_1_delta,within_2_delta,correct_sign
constant_lm_high,HK_HY_non_sync,1,1.0,-17.0,51.0,-18.0,48.333333333333336,0.0,0.0,0.3333333333333333
constant_lm_high,HK_HY_non_sync,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_high,HK_HY_non_sync,3,2.0,2.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0
constant_lm_high,HK_HY_non_sync,4,2.0,1.0,0.0,-1.0,0.6666666666666666,1.0,1.0,1.0
constant_lm_high,HK_HY_non_sync,5,3.0,0.0,0.0,-3.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333
constant_lm_high,HK_HY_non_sync,6,5.0,-1.0,1.0,-6.0,5.0,0.0,0.3333333333333333,0.3333333333333333
constant_lm_high,HK_HY_non_sync,7,7.0,-4.0,6.0,-11.0,9.666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
constant_lm_high,HK_HY_non_sync,8,10.0,-6.0,27.0,-16.0,49.666666666666664,0.0,0.0,0.3333333333333333
constant_lm_high,previous_tick_interpolated,1,1.0,2.0,46.0,1.0,45.666666666666664,0.3333333333333333,0.3333333333333333,0.6666666666666666
constant_lm_high,previous_tick_interpolated,2,1.0,3.0,2.0,2.0,19.666666666666668,0.3333333333333333,0.6666666666666666,1.0
constant_lm_high,previous_tick_interpolated,3,2.0,0.0,0.0,-2.0,2.0,0.0,1.0,0.0
constant_lm_high,previous_tick_interpolated,4,2.0,-1.0,1.0,-3.0,3.0,0.0,0.3333333333333333,0.0
constant_lm_high,previous_tick_interpolated,5,3.0,-2.0,0.0,-5.0,4.666666666666667,0.0,0.0,0.0
constant_lm_high,previous_tick_interpolated,6,5.0,-1.0,4.0,-6.0,6.0,0.0,0.3333333333333333,0.3333333333333333
constant_lm_high,previous_tick_interpolated,7,7.0,-9.0,1.0,-16.0,12.666666666666666,0.0,0.0,0.3333333333333333
constant_lm_high,previous_tick_interpolated,8,10.0,-31.0,11.0,-41.0,61.0,0.0,0.0,0.3333333333333333
constant_lm_moderate,HK_HY_non_sync,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_moderate,HK_HY_non_sync,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_moderate,HK_HY_non_sync,3,2.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0
constant_lm_moderate,HK_HY_non_sync,4,2.0,2.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0
constant_lm_moderate,HK_HY_non_sync,5,3.0,1.0,1.0,-2.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666
constant_lm_moderate,HK_HY_non_sync,6,5.0,-2.0,1.0,-7.0,6.333333333333333,0.0,0.0,0.3333333333333333
constant_lm_moderate,HK_HY_non_sync,7,7.0,74.0,26.0,67.0,81.33333333333333,0.0,0.0,0.6666666666666666
constant_lm_moderate,HK_HY_non_sync,8,10.0,-4.0,8.0,-14.0,15.0,0.0,0.0,0.3333333333333333
constant_lm_moderate,previous_tick_interpolated,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_lm_moderate,previous_tick_interpolated,2,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0
constant_lm_moderate,previous_tick_interpolated,3,2.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0
constant_lm_moderate,previous_tick_interpolated,4,2.0,0.0,0.0,-2.0,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333
constant_lm_moderate,previous_tick_interpolated,5,3.0,1.0,0.0,-2.0,2.3333333333333335,0.0,0.6666666666666666,0.6666666666666666
constant_lm_moderate,previous_tick_interpolated,6,5.0,-1.0,1.0,-6.0,6.333333333333333,0.0,0.0,0.0
constant_lm_moderate,previous_tick_interpolated,7,7.0,12.0,11.0,5.0,25.333333333333332,0.0,0.0,1.0
constant_lm_moderate,previous_tick_interpolated,8,10.0,-22.0,9.0,-32.0,24.666666666666668,0.3333333333333333,0.3333333333333333,0.3333333333333333
constant_sync,HK_HY_non_sync,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_sync,HK_HY_non_sync,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_sync,HK_HY_non_sync,3,2.0,1.0,0.0,-1.0,0.6666666666666666,1.0,1.0,1.0
constant_sync,HK_HY_non_sync,4,2.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0
constant_sync,HK_HY_non_sync,5,3.0,0.0,0.0,-3.0,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333
constant_sync,HK_HY_non_sync,6,5.0,-1.0,2.0,-6.0,6.0,0.0,0.0,0.3333333333333333
constant_sync,HK_HY_non_sync,7,7.0,-9.0,5.0,-16.0,43.0,0.0,0.0,0.0
constant_sync,HK_HY_non_sync,8,10.0,14.0,12.0,4.0,17.666666666666668,0.0,0.0,0.6666666666666666
heston_lm_high,HK_HY_non_sync,1,1.0,1.0,13.0,0.0,12.666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
heston_lm_high,HK_HY_non_sync,2,1.0,57.0,40.0,56.0,50.666666666666664,0.3333333333333333,0.3333333333333333,1.0
heston_lm_high,HK_HY_non_sync,3,2.0,1.0,1.0,-1.0,5.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
heston_lm_high,HK_HY_non_sync,4,2.0,2.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0
heston_lm_high,HK_HY_non_sync,5,3.0,3.0,2.0,0.0,9.333333333333334,0.3333333333333333,0.6666666666666666,1.0
heston_lm_high,HK_HY_non_sync,6,5.0,0.0,2.0,-5.0,4.666666666666667,0.0,0.3333333333333333,0.3333333333333333
heston_lm_high,HK_HY_non_sync,7,7.0,-4.0,0.0,-11.0,32.666666666666664,0.0,0.0,0.0
heston_lm_high,HK_HY_non_sync,8,10.0,-29.0,37.0,-39.0,48.333333333333336,0.0,0.3333333333333333,0.3333333333333333
heston_lm_high,previous_tick_interpolated,1,1.0,2.0,14.0,1.0,11.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
heston_lm_high,previous_tick_interpolated,2,1.0,17.0,53.0,16.0,43.666666666666664,0.0,0.0,0.6666666666666666
heston_lm_high,previous_tick_interpolated,3,2.0,0.0,1.0,-2.0,6.333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
heston_lm_high,previous_tick_interpolated,4,2.0,0.0,0.0,-2.0,2.3333333333333335,0.0,0.6666666666666666,0.0
heston_lm_high,previous_tick_interpolated,5,3.0,1.0,3.0,-2.0,10.666666666666666,0.0,0.3333333333333333,0.6666666666666666
heston_lm_high,previous_tick_interpolated,6,5.0,-1.0,0.0,-6.0,7.666666666666667,0.0,0.0,0.0
heston_lm_high,previous_tick_interpolated,7,7.0,-8.0,5.0,-15.0,13.333333333333334,0.0,0.0,0.3333333333333333
heston_lm_high,previous_tick_interpolated,8,10.0,-20.0,15.0,-30.0,50.0,0.0,0.0,0.0
